Class_name,Mean_PQMas,Mean_tm1c,Mean_tm2c,Mean_tm3c,Mean_tm4c,Mean_tm5c,Mean_tm7c
W_Swamp,16383.0000000000000000,315.0000000000000000,494.0000000000000000,394.0000000000000000,926.0000000000000000,811.0000000000000000,532.0000000000000000
W_Swamp,16383.0000000000000000,348.0000000000000000,590.0000000000000000,525.0000000000000000,892.0000000000000000,651.0000000000000000,532.0000000000000000
W_Swamp,16383.0000000000000000,282.0000000000000000,590.0000000000000000,447.0000000000000000,892.0000000000000000,1017.0000000000000000,564.0000000000000000
W_Swamp,16383.0000000000000000,298.0000000000000000,462.0000000000000000,499.0000000000000000,1366.0000000000000000,766.0000000000000000,403.0000000000000000
W_Swamp,16383.0000000000000000,282.0000000000000000,397.0000000000000000,421.0000000000000000,1569.0000000000000000,560.0000000000000000,339.0000000000000000
W_Swamp,16383.0000000000000000,249.0000000000000000,397.0000000000000000,395.0000000000000000,1366.0000000000000000,766.0000000000000000,403.0000000000000000
W_Swamp,16383.0000000000000000,265.0000000000000000,461.0000000000000000,342.0000000000000000,1062.0000000000000000,445.0000000000000000,307.0000000000000000
W_Swamp,16383.0000000000000000,282.0000000000000000,494.0000000000000000,499.0000000000000000,1332.0000000000000000,811.0000000000000000,500.0000000000000000
W_Swamp,16383.0000000000000000,265.0000000000000000,494.0000000000000000,369.0000000000000000,1299.0000000000000000,560.0000000000000000,403.0000000000000000
W_LargeBody,16383.0000000000000000,293.0000000000000000,458.0000000000000000,444.0000000000000000,1261.0000000000000000,900.0000000000000000,402.0000000000000000
W_LargeBody,16383.0000000000000000,260.0000000000000000,458.0000000000000000,444.0000000000000000,1328.0000000000000000,878.0000000000000000,402.0000000000000000
W_Sea,15871.0000000000000000,652.0000000000000000,904.0000000000000000,935.0000000000000000,1192.0000000000000000,1287.0000000000000000,1073.0000000000000000
W_Sea,16383.0000000000000000,587.0000000000000000,777.0000000000000000,754.0000000000000000,990.0000000000000000,1492.0000000000000000,977.0000000000000000
CloudShadow_Bare,8191.0000000000000000,328.0000000000000000,459.0000000000000000,471.0000000000000000,720.0000000000000000,832.0000000000000000,530.0000000000000000
CloudShadow_Bare,8191.0000000000000000,344.0000000000000000,427.0000000000000000,445.0000000000000000,754.0000000000000000,809.0000000000000000,498.0000000000000000
CloudShadow_Bare,8191.0000000000000000,295.0000000000000000,427.0000000000000000,419.0000000000000000,720.0000000000000000,809.0000000000000000,498.0000000000000000
CloudShadow_Bare,8191.0000000000000000,360.0000000000000000,427.0000000000000000,445.0000000000000000,687.0000000000000000,832.0000000000000000,530.0000000000000000
CloudShadow_Bare,8191.0000000000000000,360.0000000000000000,427.0000000000000000,471.0000000000000000,720.0000000000000000,855.0000000000000000,562.0000000000000000
CloudShadow_Bare,8191.0000000000000000,328.0000000000000000,427.0000000000000000,445.0000000000000000,687.0000000000000000,809.0000000000000000,466.0000000000000000
CloudShadow_Bare,8191.0000000000000000,311.0000000000000000,394.0000000000000000,419.0000000000000000,687.0000000000000000,809.0000000000000000,466.0000000000000000
CloudShadow_Bare,8191.0000000000000000,311.0000000000000000,427.0000000000000000,445.0000000000000000,720.0000000000000000,923.0000000000000000,530.0000000000000000
CloudShadow_Bare,8191.0000000000000000,311.0000000000000000,394.0000000000000000,419.0000000000000000,720.0000000000000000,764.0000000000000000,434.0000000000000000
CloudShadow_Bare,8191.0000000000000000,278.0000000000000000,394.0000000000000000,367.0000000000000000,720.0000000000000000,741.0000000000000000,402.0000000000000000
CloudShadow_Bare,8191.0000000000000000,262.0000000000000000,362.0000000000000000,367.0000000000000000,653.0000000000000000,718.0000000000000000,434.0000000000000000
CloudShadow_Bare,8191.0000000000000000,245.0000000000000000,330.0000000000000000,341.0000000000000000,653.0000000000000000,672.0000000000000000,434.0000000000000000
CloudShadow_Bare,8191.0000000000000000,262.0000000000000000,330.0000000000000000,315.0000000000000000,619.0000000000000000,672.0000000000000000,402.0000000000000000
CloudShadow_Bare,8191.0000000000000000,262.0000000000000000,330.0000000000000000,315.0000000000000000,619.0000000000000000,718.0000000000000000,370.0000000000000000
CloudShadow_Bare,8191.0000000000000000,311.0000000000000000,394.0000000000000000,393.0000000000000000,687.0000000000000000,855.0000000000000000,498.0000000000000000
CloudShadow_Bare,8191.0000000000000000,278.0000000000000000,362.0000000000000000,393.0000000000000000,687.0000000000000000,695.0000000000000000,466.0000000000000000
